source_dataset_id,source_record_type,name,address,city,state,zip,latitude,longitude,phone,website,source_url,notes
8dff-2vkt,recreation_center,Dottie Jordan Recreation Center,2803 Loyola Ln.,Austin,TX,78723,30.314377,-97.673367,(512) 978-2380,https://www.austintexas.gov/department/dottie-jordan-recreation-center,https://data.austintexas.gov/Locations-and-Maps/Recreation-Centers/8dff-2vkt,Exact public inventory record used by the synthetic disruption scenario. Operational status is not sourced from this record.
8dff-2vkt,recreation_center,George Morales Dove Springs Recreation Center,5801 Ainez Dr.,Austin,TX,78744,30.187717,-97.739513,(512) 974-3840,https://www.austintexas.gov/department/george-morales-dove-springs-recreation-center,https://data.austintexas.gov/Locations-and-Maps/Recreation-Centers/8dff-2vkt,Exact public inventory record; synthetic event status in demo.
8dff-2vkt,recreation_center,Alamo Recreation Center,2100 Alamo St.,Austin,TX,78722,30.282633,-97.719847,(512) 974-5680,https://www.austintexas.gov/department/alamo-recreation-center,https://data.austintexas.gov/Locations-and-Maps/Recreation-Centers/8dff-2vkt,Exact public inventory record; not a complete recreation-center download.
tc36-hn4j,library,University Hills Branch,4721 Loyola Ln.,Austin,TX,78723,30.308688004,-97.666558995,512-974-9940,http://library.austintexas.gov/taxonomy/term/185,https://data.austintexas.gov/Locations-and-Maps/Austin-Public-Library-Locations/tc36-hn4j,Exact public inventory record used as alternate destination; demo status and hours are synthetic.
tc36-hn4j,library,Little Walnut Creek Branch,835 W Rundberg Ln.,Austin,TX,78758,30.363273011,-97.698474013,512-974-9860,http://library.austintexas.gov/taxonomy/term/197,https://data.austintexas.gov/Locations-and-Maps/Austin-Public-Library-Locations/tc36-hn4j,Exact public inventory record; demo event hours are synthetic.
tc36-hn4j,library,Central Library,710 W Cesar Chavez St.,Austin,TX,78701,30.266101984,-97.751692979,512-974-7400,https://library.austintexas.gov/central-library,https://data.austintexas.gov/Locations-and-Maps/Austin-Public-Library-Locations/tc36-hn4j,Exact public inventory record; demo event hours are synthetic.
tc36-hn4j,library,Carver Branch,1161 Angelina St.,Austin,TX,78702,30.269948021,-97.724265967,512-974-1010,http://library.austintexas.gov/taxonomy/term/194,https://data.austintexas.gov/Locations-and-Maps/Austin-Public-Library-Locations/tc36-hn4j,Exact public inventory record; demo event hours are synthetic.
tc36-hn4j,library,Ruiz Branch,1600 Grove Blvd.,Austin,TX,78741,30.229867017,-97.707050963,512-974-7500,http://library.austintexas.gov/taxonomy/term/205,https://data.austintexas.gov/Locations-and-Maps/Austin-Public-Library-Locations/tc36-hn4j,Exact public inventory record; demo event hours are synthetic.
xaxa-886r,aquatic_amenity,Dottie Jordan Pool,2803 Loyola Ln.,Austin,TX,,30.314319348000026,-97.67341137899996,512-974-9331,Dottie Jordan Pool,https://data.austintexas.gov/Locations-and-Maps/Austin-Pool-Schedule/xaxa-886r,Source schedule showed this aquatic amenity open during research. It never counts as indoor cooling access.
xaxa-886r,aquatic_amenity,Dove Springs Pool,5801 Ainez Dr.,Austin,TX,,30.18812383100004,-97.73920481399995,512-974-9331,Dove Springs Pool,https://data.austintexas.gov/Locations-and-Maps/Austin-Pool-Schedule/xaxa-886r,Exact public schedule/location excerpt; never counts as indoor cooling access.
tc36-hn4j,library,Spicewood Springs Branch,8637 Spicewood Springs Rd.,Austin,TX,78759,30.433571236,-97.772902128,512-974-3800,http://library.austintexas.gov/taxonomy/term/208,https://data.austintexas.gov/Locations-and-Maps/Austin-Public-Library-Locations/tc36-hn4j,Exact public inventory record; demo event status and hours are synthetic.
