source_name,address,city,state,zip,latitude,longitude,phone,council_district,wifi,public_computers,lending_devices,digital_literacy_training,location_url,dataset_id,source_api,snapshot_method,operational_warning
Austin History Center - John Henry Faulk Building,800 Guadalupe St,Austin,TX,78701,30.271709981,-97.74589002,512-974-7480,9,Yes,2,,Yes,https://library.austintexas.gov/ahc,tc36-hn4j,https://data.austintexas.gov/resource/tc36-hn4j.json?$limit=5000,Normalized complete snapshot reconstructed from the official downloadable JSON response inspected 2026-07-19; run scripts/fetch_sources.py for byte-for-byte raw refresh.,"Inventory only. Does not prove current hours, HVAC, capacity, event participation, or verified-open cooling access."
Carver Branch,1161 Angelina St,Austin,TX,78702,30.269948021,-97.724265967,512-974-1010,1,Yes,26,,Yes,https://library.austintexas.gov/carver,tc36-hn4j,https://data.austintexas.gov/resource/tc36-hn4j.json?$limit=5000,Normalized complete snapshot reconstructed from the official downloadable JSON response inspected 2026-07-19; run scripts/fetch_sources.py for byte-for-byte raw refresh.,"Inventory only. Does not prove current hours, HVAC, capacity, event participation, or verified-open cooling access."
Central Library,710 W Cesar Chavez St,Austin,TX,78701,30.266101984,-97.751692979,512-974-7400,9,Yes,128,67,Yes,https://library.austintexas.gov/central,tc36-hn4j,https://data.austintexas.gov/resource/tc36-hn4j.json?$limit=5000,Normalized complete snapshot reconstructed from the official downloadable JSON response inspected 2026-07-19; run scripts/fetch_sources.py for byte-for-byte raw refresh.,"Inventory only. Does not prove current hours, HVAC, capacity, event participation, or verified-open cooling access."
Little Walnut Creek Branch,835 W Rundberg Ln,Austin,TX,78758,30.363273011,-97.698474013,512-974-9860,4,Yes,24,,Yes,https://library.austintexas.gov/little-walnut-creek,tc36-hn4j,https://data.austintexas.gov/resource/tc36-hn4j.json?$limit=5000,Normalized complete snapshot reconstructed from the official downloadable JSON response inspected 2026-07-19; run scripts/fetch_sources.py for byte-for-byte raw refresh.,"Inventory only. Does not prove current hours, HVAC, capacity, event participation, or verified-open cooling access."
University Hills Branch,4721 Loyola Ln,Austin,TX,78723,30.308688004,-97.666558995,512-974-9940,1,Yes,18,,Yes,https://library.austintexas.gov/university-hills,tc36-hn4j,https://data.austintexas.gov/resource/tc36-hn4j.json?$limit=5000,Normalized complete snapshot reconstructed from the official downloadable JSON response inspected 2026-07-19; run scripts/fetch_sources.py for byte-for-byte raw refresh.,"Inventory only. Does not prove current hours, HVAC, capacity, event participation, or verified-open cooling access."
Howson Branch,2500 Exposition Blvd,Austin,TX,78703,30.298259994,-97.76762396,512-974-8800,10,Yes,5,,Yes,https://library.austintexas.gov/howson,tc36-hn4j,https://data.austintexas.gov/resource/tc36-hn4j.json?$limit=5000,Normalized complete snapshot reconstructed from the official downloadable JSON response inspected 2026-07-19; run scripts/fetch_sources.py for byte-for-byte raw refresh.,"Inventory only. Does not prove current hours, HVAC, capacity, event participation, or verified-open cooling access."
John Gillum Branch / North Village,2505 Steck Ave,Austin,TX,78757,30.362157002,-97.73053496,512-974-9960,7,Yes,21,,Yes,https://library.austintexas.gov/north-village,tc36-hn4j,https://data.austintexas.gov/resource/tc36-hn4j.json?$limit=5000,Normalized complete snapshot reconstructed from the official downloadable JSON response inspected 2026-07-19; run scripts/fetch_sources.py for byte-for-byte raw refresh.,"Inventory only. Does not prove current hours, HVAC, capacity, event participation, or verified-open cooling access."
Hampton Branch at Oak Hill,5125 Convict Hill Rd,Austin,TX,78749,30.217655003,-97.855041007,512-974-9900,8,Yes,9,,Yes,https://library.austintexas.gov/hampton-oak-hill,tc36-hn4j,https://data.austintexas.gov/resource/tc36-hn4j.json?$limit=5000,Normalized complete snapshot reconstructed from the official downloadable JSON response inspected 2026-07-19; run scripts/fetch_sources.py for byte-for-byte raw refresh.,"Inventory only. Does not prove current hours, HVAC, capacity, event participation, or verified-open cooling access."
Ruiz Branch,1600 Grove Blvd,Austin,TX,78741,30.229867017,-97.707050963,512-974-7500,3,Yes,26,,Yes,https://library.austintexas.gov/ruiz,tc36-hn4j,https://data.austintexas.gov/resource/tc36-hn4j.json?$limit=5000,Normalized complete snapshot reconstructed from the official downloadable JSON response inspected 2026-07-19; run scripts/fetch_sources.py for byte-for-byte raw refresh.,"Inventory only. Does not prove current hours, HVAC, capacity, event participation, or verified-open cooling access."
Recycled Reads Bookstore,5335 Burnet Rd,Austin,TX,78756,30.327026015,-97.739325984,512-974-7460,7,Yes,0,,No,https://library.austintexas.gov/recycled-reads,tc36-hn4j,https://data.austintexas.gov/resource/tc36-hn4j.json?$limit=5000,Normalized complete snapshot reconstructed from the official downloadable JSON response inspected 2026-07-19; run scripts/fetch_sources.py for byte-for-byte raw refresh.,"Inventory only. Does not prove current hours, HVAC, capacity, event participation, or verified-open cooling access."
Old Quarry Branch,7051 Village Center Dr,Austin,TX,78731,30.353026008,-97.755172978,512-974-8860,10,Yes,6,,Yes,https://library.austintexas.gov/old-quarry,tc36-hn4j,https://data.austintexas.gov/resource/tc36-hn4j.json?$limit=5000,Normalized complete snapshot reconstructed from the official downloadable JSON response inspected 2026-07-19; run scripts/fetch_sources.py for byte-for-byte raw refresh.,"Inventory only. Does not prove current hours, HVAC, capacity, event participation, or verified-open cooling access."
St. John Branch,7500 Blessing Ave,Austin,TX,78752,30.332762003,-97.694025989,512-974-7570,4,Yes,25,,Yes,https://library.austintexas.gov/st-john,tc36-hn4j,https://data.austintexas.gov/resource/tc36-hn4j.json?$limit=5000,Normalized complete snapshot reconstructed from the official downloadable JSON response inspected 2026-07-19; run scripts/fetch_sources.py for byte-for-byte raw refresh.,"Inventory only. Does not prove current hours, HVAC, capacity, event participation, or verified-open cooling access."
Spicewood Springs Branch,8637 Spicewood Springs Rd,Austin,TX,78759,30.433571236,-97.772902128,512-974-3800,6,Yes,20,,Yes,https://library.austintexas.gov/spicewood-springs,tc36-hn4j,https://data.austintexas.gov/resource/tc36-hn4j.json?$limit=5000,Normalized complete snapshot reconstructed from the official downloadable JSON response inspected 2026-07-19; run scripts/fetch_sources.py for byte-for-byte raw refresh.,"Inventory only. Does not prove current hours, HVAC, capacity, event participation, or verified-open cooling access."
